Company,Sector,gen_index,educ_index,exp_index,ten_index,age_index,z_total_index,Quartiles,sa_finance1_cocode,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_pct_shares_hld_govt,sa_bd_tot_risk_wt_ast_and_contingencies,sa_bsl_cap_adeq_ratio,sa_bsl_t1_cap_adeq_ratio,sa_bsl_tot_elg_cap,sa_bsl_tier1_elg_cap,sa_bd_bsl3_cet1_cap_ratio,sa_bd_bsl3_cap_adeq_ratio,sa_bd_bsl3_t1_cap_adeq_ratio,sa_bd_bsl3_t2_cap_adeq_ratio,sa_bd_bsl3_cap_adeq_amt,sa_bd_cap_adeq_ratio_series,sa_bd_int_inc_pct_working_funds,sa_bd_non_int_inc_pct_working_funds,sa_bd_op_profit_pct_working_funds,sa_gnpa_advance,sa_bd_nnpa_pct_net_adv,sa_bd_return_on_ast,sa_bd_profit_per_employee,sa_bd_gross_npa_opening_bal,sa_bd_gross_npa_closing_bal,sa_bd_net_npa_opening_bal,sa_bd_net_npa_closing_bal,sa_bd_prov_for_npa,sa_total_gross_restruc_acs,sa_bd_non_corp_debt_restruct,sa_bd_corp_debt_restruct,sa_bd_total_no_borrower_restuct_acs,sa_bd_total_no_borrower_non_corp_debt_restruct,sa_bd_total_no_borrower_corp_debt_restruct,sa_bd_gross_npa_bank,sa_bd_gross_npa_rbi,sa_bd_divergence_gross_npa,sa_bd_net_npa_bank,sa_bd_net_npa_rbi,sa_bd_divergence_net_npa,sa_bd_credit_deposit_ratio,sa_net_int_margin,sa_bd_int_spread,sa_bd_avg_ret_on_adv,sa_bd_avg_cost_of_deposits,Year
BANDHAN BANK LTD.,PRIVATE,0.9795918,0.4897959,0.25,0.0,0.4897959,-2.997842,Q1,524457,20180331,12,IGAAP,,,,,,,30.3,31.48,30.3,1.18,,31.48,14.37,2.11,7.27,1.25,0.58,4.03,0.5,862.6,3731.4,611.7,1729,2002.4,,,,,,,,,,,,,,9.69,,,,2018
I C I C I BANK LTD.,PRIVATE,0.9722222,0.5555555,0.1836735,0.6179138,0.4444444,-1.648002,,96379,20180331,12,IGAAP,,6349080,,,,,14.43,18.42,15.92,2.5,,18.42,7.06,2.24,3.18,9.9,5.43,0.87,0.8,421593.9,532401.8,252168.1,278235.6,254166.2,151835.5,105555,46280.5,1572,1529,43,,,,,,,,3.23,2.71,8.63,487,2018
YES BANK LTD.,PRIVATE,0.9909297,0.4195011,0.0816327,0.6122448,0.244898,-1.472443,,354608,20180331,12,IGAAP,,,,,,,9.7,18.4,13.2,5.2,469757.1,18.4,8.55,2.2,3.27,1.28,0.64,1.78,2.3,20185.6,26268,10722.7,13127.5,13140.5,2566.9,2318.4,248.5,8,8,2,20185.6,83737.6,63552,10722.7,58916.2,48193.5,101.4,3.5,,,,2018
AXIS BANK LTD.,PRIVATE,0.9835634,0.408284,0.0946746,0.6337935,0.4260355,-1.22453,,256066,20180331,12,IGAAP,,5176307.8,,,,,11.68,16.57,13.04,3.53,857748.6,16.57,7.15,1.71,2.43,6.79,3.64,0.04,0.047,212804.8,342486.4,86265.5,165917.1,173559.5,90666.7,64796.9,25869.8,843,812,31,212804.8,269132.8,56328,86265.5,129436.5,43171,,3.44,,9.12,4.89,2018
KARUR VYSYA BANK LTD.,PRIVATE,0.9982639,0.5555555,0.0277778,0.6423611,0.0798612,-1.213941,,117648,20180331,12,IGAAP,,,,,,,13.92,14.43,13.92,0.51,,14.43,8.79,1.39,2.74,6.56,4.16,0.53,0.435,14838.1,30157.6,10334.6,18628.3,10909,7708.7,6739.3,969.4,78,74,4,14838.1,21347.1,6509,10334.6,12354.6,2020,,3.86,,10.29,5.99,2018
FEDERAL BANK LTD.,PRIVATE,0.9952437,0.6147444,0.3043995,0.627824,0.1854935,-0.9128163,,72607,20180331,12,IGAAP,,830598.6,,,,,14.18,14.7,14.18,0.52,122127.7,14.7,8.31,0.99,1.95,3,1.69,0.75,0.7,17270.5,27956.2,9412,15519.6,12151.3,10153.6,8531.6,1622.1,178,171,7,,,,,,,,3.21,,9.53,5.84,2018
INDUSIND BANK LTD.,PRIVATE,0.9909297,0.61678,0.1451247,0.4444444,0.4444444,-0.7408757,,100224,20180331,12,IGAAP,,,,,,,13.42,15.03,14.58,0.45,,15.03,9.1,2.5,3.5,1.17,0.51,1.9,1.426,10548.7,17049.1,4389.1,7456.7,9592.4,3017.2,2192.1,825.1,7,4,3,10548.7,24050.7,13502,4389.1,14400.3,10011.2,,3.99,,11.21,5.98,2018
UNITED BANK OF INDIA,PUBLIC,0.98053,0.8047593,0.0265008,0.6554894,0.4542996,-0.3455523,,257827,20180331,12,IGAAP,93.13,,12.62,9.87,,,8.39,12.62,9.87,2.75,80190,12.62,5.95,1.58,0.73,24.1,16.49,-1.04,0.691,109519.9,165521.1,65918.5,103163,62015.7,70848,25940.4,44907.6,7419,7379,40,19519.9,117546.9,98027,65918.5,71573.5,5655,53.11,1.66,,7.35,5.3,2018
I D B I BANK LTD.,PRIVATE,0.9927569,0.3802625,0.1634224,0.657311,0.4997737,-0.2871494,Q2,100283,20180331,12,IGAAP,80.96,,,,,,7.42,10.41,7.73,2.68,,10.41,6.87,2.09,2.36,27.95,16.69,-2.46,-4.7,447525.9,555882.5,252058,286651.4,269231.2,204779.1,167817.5,36961.6,551,512,39,447525.9,550344.9,102819,252058,310236,58178,,,,,,2018
D C B BANK LTD.,PRIVATE,0.9936,0.36,0.0144,0.6208,0.5344,-0.2495549,,59045,20180331,12,IGAAP,,207553.9,,,,,12.72,16.47,12.72,3.75,34184.8,16.47,9.23,1.19,2.01,1.79,0.72,0.94,0.5,2542,3690.3,1244.1,1467.2,2216.4,1231.3,1231.3,,36,36,,,,,,,,,4.16,,,,2018
