sa_finance1_cocode	sa_company_name	sa_finance1_year	sa_ann_rep_months	sa_fs_format	sa_pct_shares_hld_govt	sa_bd_tot_risk_wt_ast_and_contingencies	sa_bsl_cap_adeq_ratio	sa_bsl_t1_cap_adeq_ratio	sa_bsl_tot_elg_cap	sa_bsl_tier1_elg_cap	sa_bd_bsl3_cet1_cap_ratio	sa_bd_bsl3_cap_adeq_ratio	sa_bd_bsl3_t1_cap_adeq_ratio	sa_bd_bsl3_t2_cap_adeq_ratio	sa_bd_bsl3_cap_adeq_amt	sa_bd_cap_adeq_ratio_series	sa_bd_int_inc_pct_working_funds	sa_bd_non_int_inc_pct_working_funds	sa_bd_op_profit_pct_working_funds	sa_gnpa_advance	sa_bd_nnpa_pct_net_adv	sa_bd_return_on_ast	sa_bd_profit_per_employee	sa_bd_gross_npa_opening_bal	sa_bd_gross_npa_closing_bal	sa_bd_net_npa_opening_bal	sa_bd_net_npa_closing_bal	sa_bd_prov_for_npa	sa_total_gross_restruc_acs	sa_bd_non_corp_debt_restruct	sa_bd_corp_debt_restruct	sa_bd_total_no_borrower_restuct_acs	sa_bd_total_no_borrower_non_corp_debt_restruct	sa_bd_total_no_borrower_corp_debt_restruct	sa_bd_gross_npa_bank	sa_bd_gross_npa_rbi	sa_bd_divergence_gross_npa	sa_bd_net_npa_bank	sa_bd_net_npa_rbi	sa_bd_divergence_net_npa	sa_bd_credit_deposit_ratio	sa_net_int_margin	sa_bd_int_spread	sa_bd_avg_ret_on_adv	sa_bd_avg_cost_of_deposits
4800	ABHYUDAYA CO-OP. BANK LTD.	20090331	12	IGAAP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.42	9.38	2.33	4.62	NA	NA	2.37	0.6	2041.8	2575.6	NA	NA	2677.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4800	ABHYUDAYA CO-OP. BANK LTD.	20100331	12	IGAAP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.91	8.51	0.68	1.17	NA	NA	0.63	0.2	2575.7	3282.4	NA	602	3282.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.51
4800	ABHYUDAYA CO-OP. BANK LTD.	20110331	12	IGAAP	NA	38351.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.07	8.83	0.56	2.13	NA	NA	1.31	0.4	3282.4	3025.1	NA	820.8	2204.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.77	NA	NA	5.9
4800	ABHYUDAYA CO-OP. BANK LTD.	20120331	12	IGAAP	NA	46051.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.48	9.72	0.63	1.81	NA	NA	1.13	0.359	3025.1	3592.2	NA	1499.7	2092.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.27	NA	NA	6.89
4800	ABHYUDAYA CO-OP. BANK LTD.	20130331	12	IGAAP	NA	56843.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.22	10.09	1.27	2.12	NA	NA	1.05	0.38	3592.2	4485.6	NA	1845.7	2639.9	123.9	123.9	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.8
4800	ABHYUDAYA CO-OP. BANK LTD.	20140331	12	IGAAP	NA	68400.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.08	9.64	0.82	1.72	NA	NA	0.97	0.376	4485.6	5630.4	NA	2553.4	3076.9	1981.3	1981.3	NA	11	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.9
4800	ABHYUDAYA CO-OP. BANK LTD.	20150331	12	IGAAP	NA	66304.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.81	8.73	0.7	0.78	NA	NA	0.29	0.126	5630.4	11139	NA	6870.8	4268.1	1425.2	1425.2	NA	15	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.87
4800	ABHYUDAYA CO-OP. BANK LTD.	20160331	12	IGAAP	NA	67047.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.33	8.13	0.65	0.7	NA	NA	0.02	0.009	11139	13939.9	NA	7551.6	6388.3	263.5	263.5	NA	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.49
4950	ABU DHABI COMMERCIAL BANK LTD.	20090331	12	IGAAP	NA	2309.1	46.67	0.9	1256.6	1232.9	NA	NA	NA	NA	NA	46.67	7.01	0.78	2.92	NA	NA	2.4	4.2	194.9	141.3	NA	NA	141.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4950	ABU DHABI COMMERCIAL BANK LTD.	20100331	12	IGAAP	NA	2620.9	NA	NA	1338.2	1308.9	NA	NA	NA	NA	NA	50.91	6.09	0.49	1.66	NA	0.19	1.13	1.9	141.3	140.9	NA	2.8	138.1	NA	96.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4950	ABU DHABI COMMERCIAL BANK LTD.	20110331	12	IGAAP	NA	NA	45.25	44.26	1397.8	1367.1	NA	NA	NA	NA	NA	45.25	5.86	0.48	1.01	NA	2.89	1.12	1.9	140.9	127.5	2.8	52.1	75.4	NA	51.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4950	ABU DHABI COMMERCIAL BANK LTD.	20120331	12	IGAAP	NA	NA	80.88	80	3126	3091.8	NA	NA	NA	NA	NA	80.88	8.7	0.53	2.61	NA	NA	1.87	3.4	127.5	31.2	52.1	NA	31.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4950	ABU DHABI COMMERCIAL BANK LTD.	20130331	12	IGAAP	NA	NA	66.82	65.91	3266.6	3192.5	NA	NA	NA	NA	NA	66.82	9.03	0.51	2.33	NA	0	1.4	3.6	31.2	0.3	NA	NA	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4950	ABU DHABI COMMERCIAL BANK LTD.	20140331	12	IGAAP	NA	NA	35.92	35.1	3266.6	3192.5	35.1	35.92	35.1	0.82	NA	35.92	7.95	0.63	1.84	2.03	0.62	0.56	2	0.3	249.2	0	74.6	174.5	248.9	NA	248.9	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4950	ABU DHABI COMMERCIAL BANK LTD.	20150331	12	IGAAP	NA	NA	NA	NA	NA	NA	26.66	27.56	26.66	0.9	NA	27.56	7.69	0.59	1.42	1.3	0.08	0.57	1.972	249.2	249.2	74.6	13.5	235.6	248.9	NA	248.9	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4950	ABU DHABI COMMERCIAL BANK LTD.	20160331	12	IGAAP	NA	NA	NA	NA	NA	NA	24.07	24.89	24.07	0.82	NA	24.89	7.18	0.84	1.15	1.14	0.07	0.67	2.459	249.2	249.2	13.5	13.5	235.7	248.9	NA	248.9	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4950	ABU DHABI COMMERCIAL BANK LTD.	20170331	12	IGAAP	NA	NA	NA	NA	NA	NA	24.64	25.52	24.64	0.88	NA	25.52	6.76	0.91	1.06	0.99	0.06	0.54	2.031	249.2	231.1	13.5	13.5	217.6	230.8	NA	230.8	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4950	ABU DHABI COMMERCIAL BANK LTD.	20180331	12	IGAAP	NA	NA	NA	NA	NA	NA	18.43	19.02	18.43	0.59	NA	19.02	6.61	0.71	1.14	NA	NA	0.6	1.864	231.1	231.1	13.5	NA	231.1	230.8	NA	230.8	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4950	ABU DHABI COMMERCIAL BANK LTD.	20190331	12	IGAAP	NA	NA	NA	NA	NA	NA	27.18	28.12	27.18	0.94	NA	28.12	6.59	0.2	0.13	NA	NA	-0.19	-0.632	231.1	533.8	13.5	NA	134.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8369	AHMEDABAD MERCANTILE COOPERATIVE BANK LTD.	20090331	12	IGAAP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.64	7.88	0.45	2.91	NA	NA	2.91	0.7	235.3	197.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.52
11019	ALLAHABAD BANK	20090331	12	IGAAP	55.23	NA	13.11	8.01	83588.4	51066.9	NA	NA	NA	NA	NA	13.11	8.67	1.34	2.24	NA	0.72	0.9	0.4	10105.1	10782.5	3998.1	4221.1	6416.4	25642	28352.9	3944.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.93	2.88	2.95	10.88	6.62
11019	ALLAHABAD BANK	20100331	12	IGAAP	55.23	NA	13.62	8.12	103651.8	61755.8	NA	NA	NA	NA	NA	13.62	8.02	1.45	2.44	NA	0.66	1.16	0.6	10782.5	12218	4221.1	4701.5	7516.5	34203.6	30031.4	4172.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.93	2.94	2.69	10.57	5.97
11019	ALLAHABAD BANK	20110331	12	IGAAP	58	NA	12.96	8.57	NA	NA	NA	NA	NA	NA	NA	12.96	8.56	1.07	2.37	NA	0.79	1.11	0.7	12218	16479.2	4701.5	7363.7	8635.5	28150.1	21879.4	6270.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.18	3.38	3.34	10.5	5.83
11019	ALLAHABAD BANK	20120331	12	IGAAP	55.24	NA	12.83	9.13	NA	NA	NA	NA	NA	NA	NA	12.83	8.49	0.81	2.36	NA	0.98	1.02	0.8	16479.2	20589.8	7363.7	10917	9672.8	63531.2	54130.2	9401	NA	NA	NA	NA	NA	NA	NA	NA	NA	71	3.48	3.5	12.09	7.07
11019	ALLAHABAD BANK	20130331	12	IGAAP	55.24	NA	11.03	8.05	NA	NA	NA	NA	NA	NA	NA	11.03	9.39	0.8	1.82	NA	3.19	0.64	0.5	20589.8	51369.9	10917	41267.6	10102.3	138154.1	113904.7	24249.4	15045	15024	31	NA	NA	NA	NA	NA	NA	74	2.81	2.77	11.43	7.51
11019	ALLAHABAD BANK	20140331	12	IGAAP	58.9	NA	10.26	7.67	NA	NA	7.35	9.96	7.51	2.45	NA	9.96	9.07	1.05	1.94	5.73	4.15	0.57	0.477	51369.9	80680.4	41267.6	57218.1	23462.3	137212.3	90704.7	46507.6	17637	17588	49	NA	NA	NA	NA	NA	NA	74.26	2.75	9.14	10.83	7.24
11019	ALLAHABAD BANK	20150331	12	IGAAP	60.83	NA	10.52	7.78	NA	NA	7.57	10.45	7.71	2.74	NA	10.45	9.25	0.93	2.09	5.46	3.99	0.29	0.256	80680.4	83579.7	57218.1	59788.9	23790.7	169190.9	94602.6	74588.3	8964	8914	50	NA	NA	NA	NA	NA	NA	79.6	3.1	16.32	10.91	NA
11019	ALLAHABAD BANK	20160331	12	IGAAP	61.38	NA	10.73	7.3	NA	NA	8.3	11.02	8.41	2.61	NA	11.02	8.49	0.86	1.86	9.76	6.76	-0.33	-0.308	83579.7	153845.7	59788.9	102925.1	50920.6	83327.2	46537.8	36789.4	5316	5287	29	NA	NA	NA	NA	NA	NA	79.43	2.65	-4.52	9.24	NA
11019	ALLAHABAD BANK	20170331	12	IGAAP	65.92	NA	10.9	7.12	NA	NA	8.2	11.45	8.49	2.96	NA	11.45	7.57	1.13	1.66	13.09	8.92	-0.13	-1.3	153845.7	206878.3	102925.1	134335.1	72543.2	46556.1	30886.1	15670	3593	3578	15	153845.7	163575.7	9730	102925.1	110074.3	7149.2	79.03	2.54	NA	8.41	NA
11019	ALLAHABAD BANK	20180331	12	IGAAP	64.78	NA	8.69	6.69	NA	NA	5.57	8.69	6.69	2	NA	8.69	6.84	1.13	1.44	15.96	8.04	-1.96	-2	206878.3	265627.9	134335.1	122291.3	143081.1	9450.2	9450.2	NA	6664	8	NA	206878.3	217656.3	10778	134335.1	143589.1	9254	78.64	2.2	NA	7.61	5.33
11019	ALLAHABAD BANK	20190331	12	IGAAP	85.82	NA	12.51	9.68	NA	NA	9.65	12.51	9.68	2.83	NA	12.51	7.03	0.71	1.15	17.55	5.22	-3.48	-3.6	265627.9	287047.8	122291.3	74193.1	212614.5	4955	4955	NA	5371	727	NA	265627.9	276914.9	11287	122291	129383	7092	76.32	2.58	NA	7.89	5.1
15214	ANDHRA BANK	20090331	12	IGAAP	51.55	NA	13.22	8.67	NA	NA	NA	NA	NA	NA	NA	13.22	8.97	1.28	2.15	NA	0.18	1.09	0.5	3724.3	3681.4	537	792.2	2883.4	15931.7	15781.7	150	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.04	3.03	NA	11.41	6.96
15214	ANDHRA BANK	20100331	12	IGAAP	51.55	NA	13.93	8.18	75302.7	44208.8	NA	NA	NA	NA	NA	13.93	8.49	1.29	2.41	NA	0.17	1.39	0.7	3681.4	4878.7	792.2	957.2	3918.6	14058.5	13248.3	810.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.05	3.21	NA	10.92	6.1
15214	ANDHRA BANK	20110331	12	IGAAP	58	NA	14.38	9.68	98611.8	66364.6	NA	NA	NA	NA	NA	14.38	8.93	0.97	2.6	1.38	0.38	1.36	0.9	4878.7	9956.4	957.2	2736.8	7190.9	25027.9	23225.1	1802.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.46	3.8	NA	11.16	5.9
15214	ANDHRA BANK	20120331	12	IGAAP	58	NA	13.18	9.03	111563.4	76385.3	NA	NA	NA	NA	NA	13.18	10.03	0.76	2.49	2.12	0.91	1.19	0.9	9956.4	17980.1	2736.8	7558.5	10421.6	60810.3	41769	17193.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.07	3.67	NA	12.45	7.51
15214	ANDHRA BANK	20130331	12	IGAAP	58	NA	11.76	8.52	118997.8	86253.4	NA	NA	NA	NA	NA	11.76	9.88	0.8	2.12	3.71	2.45	0.99	0.9	17980.1	37144.9	7558.5	24091.8	13053.1	96925.6	72682.1	24243.5	1148	1115	33	NA	NA	NA	NA	NA	NA	80.94	3.21	NA	12.02	7.87
15214	ANDHRA BANK	20140331	12	IGAAP	60.14	NA	11.18	8.25	0	0	7.96	10.78	8.09	2.69	NA	10.78	9.4	0.88	1.82	5.29	3.11	0.29	0.2	37144.9	58576	24091.8	33424.7	25151.3	107842.8	71262.7	36580.1	283	241	42	NA	NA	NA	NA	NA	NA	78.02	2.76	NA	11.22	7.81
15214	ANDHRA BANK	20150331	12	IGAAP	61.02	NA	10.88	8.08	NA	NA	7.49	10.63	7.99	2.64	NA	10.63	9.64	0.88	1.94	5.31	2.93	0.38	0.3	58576	68765.4	33424.7	36886.3	31879.1	143654.1	103821.7	39832.4	269	230	39	NA	NA	NA	NA	NA	NA	83.61	3	NA	11.38	7.73
15214	ANDHRA BANK	20160331	12	IGAAP	61.26	NA	11.86	8.96	NA	NA	7.77	11.58	8.81	2.77	NA	11.58	9.25	0.82	2.08	8.39	4.61	0.28	0.3	68765.4	114436.3	36886.3	60356.5	54079.8	113930.9	87261.2	26669.7	167	143	24	NA	NA	NA	NA	NA	NA	78.3	3.18	NA	10.71	7.18
15214	ANDHRA BANK	20170331	12	IGAAP	61.26	NA	12.69	8.99	NA	NA	7.69	12.38	9.17	3.21	NA	12.38	8.38	1.07	2.04	12.25	7.57	0.08	0.1	114436.3	176699.8	60356.5	103548.1	73151.7	76917.5	61493.7	15423.8	96	83	13	114436.3	123205.2	8768.9	60356.5	67286.5	6930	73.82	3.07	NA	9.77	6.43
15214	ANDHRA BANK	20180331	12	IGAAP	77.99	NA	11.42	7.26	NA	NA	5.61	11	7.44	3.56	NA	11	7.71	1.02	2.3	17.09	8.48	-1.46	-1.7	176699.8	281243.6	103548.1	126368.7	154567.8	17111.9	16497	614.9	27	25	2	176699.8	183707.8	7008	103548.1	107343.1	3795	79.1	3.31	NA	8.84	5.57
15214	ANDHRA BANK	20190331	12	IGAAP	90.85	NA	NA	NA	NA	NA	8.42	13.68	10.38	3.3	NA	13.68	7.44	0.8	1.97	16.21	5.73	-1.09	-0.014	281243.6	289739.7	126368.7	90914	198482.1	7313.1	7313.1	NA	16	16	NA	281243.6	282341.6	1098	126368.7	121651.7	-4717	81.29	3.31	NA	8.54	5.53
18056	APNA SAHAKARI BANK LTD.	20090331	12	IGAAP	NA	4829.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.63	8.68	0.55	2.11	NA	NA	1.35	0.4	769.1	789.2	NA	NA	848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.59
18056	APNA SAHAKARI BANK LTD.	20100331	12	IGAAP	NA	5851.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.5	8.17	0.31	1.44	NA	NA	1.33	0.5	789.2	804.8	NA	NA	808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.91
18056	APNA SAHAKARI BANK LTD.	20110331	12	IGAAP	NA	8142.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.85	8.05	0.48	1.8	NA	NA	1.11	0.5	804.8	813.4	NA	NA	876.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.49
18056	APNA SAHAKARI BANK LTD.	20120331	12	IGAAP	NA	10284	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.66	8.75	0.63	1.69	NA	NA	0.99	0.4	813.4	1165.1	NA	NA	928.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.3
18056	APNA SAHAKARI BANK LTD.	20130331	12	IGAAP	NA	11979	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.79	8.83	2.05	0.92	6.29	1.47	0.62	0.3	1165.1	747.4	0	166.3	581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.06
18056	APNA SAHAKARI BANK LTD.	20140331	12	IGAAP	NA	14492.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.4	10.85	1.6	1.87	4.32	1.75	0.87	0.3	747.4	636.2	0	250.4	385.9	330.4	330.4	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.94
18056	APNA SAHAKARI BANK LTD.	20150331	12	IGAAP	NA	16859.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.19	10.24	0.72	1.41	4.69	2.39	0.83	0.4	636.2	813.8	NA	403.9	409.8	181.7	181.7	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.05
18056	APNA SAHAKARI BANK LTD.	20160331	12	IGAAP	NA	20479.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.16	10.18	0.59	1.14	4.91	2.73	0.59	0.3	813.8	994.2	NA	539	455.1	12.3	12.3	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.93
18056	APNA SAHAKARI BANK LTD.	20170331	12	IGAAP	NA	22259.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.24	8.84	1.2	1.08	9.47	6.78	0.3	0.169	994.2	2039.5	NA	1417.4	622.1	59.9	59.9	NA	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.23
18056	APNA SAHAKARI BANK LTD.	20180331	12	IGAAP	NA	22145.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.21	8.88	0.8	1.53	2.8	1.04	0.48	0.256	2039.5	589	NA	214.1	374.9	67.5	67.5	NA	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.12
18056	APNA SAHAKARI BANK LTD.	20190331	12	IGAAP	NA	27180.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.33	8.64	0.73	0.99	NA	NA	0.51	0.252	589	1478.7	NA	769.3	709.4	357.3	357.3	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.06
18647	A B BANK LTD.	20090331	12	IGAAP	NA	NA	50.67	49.97	NA	NA	NA	NA	NA	NA	NA	50.67	5.56	9.39	8.67	NA	6.5	8.29	2.5	NA	27.1	23.8	19.1	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18647	A B BANK LTD.	20100331	12	IGAAP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.52	3.91	14.75	9.58	NA	7.68	5.58	1.7	26.5	26.5	18.5	13.2	13.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18647	A B BANK LTD.	20110331	12	IGAAP	NA	NA	30.57	29.94	483.3	473.4	NA	NA	NA	NA	NA	30.57	3.74	15.68	10.89	NA	NA	4.53	1.7	26.5	NA	13.2	NA	13.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18647	A B BANK LTD.	20120331	12	IGAAP	NA	NA	34.36	33.6	504.9	493.8	NA	NA	NA	NA	NA	34.36	4.38	16.13	11.92	NA	0	7.05	3	NA	0	NA	0	13.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18647	A B BANK LTD.	20130331	12	IGAAP	NA	NA	19.1	18.94	505	500.8	NA	NA	NA	NA	NA	19.1	4.35	11.53	8.65	NA	8.98	5.03	2.7	0	57.4	0	43.7	13.7	4.2	NA	4.2	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18647	A B BANK LTD.	20140331	12	IGAAP	NA	NA	29.1	28.83	522.8	517.9	28.83	29.1	28.83	0.27	NA	29.1	4.66	13.05	6.99	NA	8.16	4.22	2.3	57.4	70	43.7	52.5	17.5	5.4	NA	5.4	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18647	A B BANK LTD.	20150331	12	IGAAP	NA	NA	30.18	29.91	NA	NA	29.91	30.18	29.91	0.27	NA	30.18	3.86	12.63	9.41	NA	7.83	5.13	3.3	70	84.6	52.5	52.5	17.5	90	NA	90	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18647	A B BANK LTD.	20160331	12	IGAAP	NA	NA	NA	NA	NA	NA	27.79	28.52	27.79	0.73	NA	28.52	3.49	12.01	8.42	13.5	5.95	3.07	2.2	84.6	89	52.5	37	28	93.3	NA	93.3	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18647	A B BANK LTD.	20170331	12	IGAAP	NA	NA	NA	NA	NA	NA	32.68	32.95	32.68	0.27	NA	32.95	3.2	12.19	6.87	12.58	NA	3.48	2.5	89	89	37	NA	70	93.3	NA	93.3	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18647	A B BANK LTD.	20180331	12	IGAAP	NA	NA	NA	NA	NA	NA	36.33	36.62	36.33	0.29	NA	36.62	3.13	11.93	7.42	82.92	NA	4.17	2.9	89	89	NA	NA	70	92.3	NA	92.3	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18647	A B BANK LTD.	20190331	12	IGAAP	NA	NA	NA	NA	NA	NA	33.28	33.56	33.28	0.28	NA	33.56	3.55	12.82	8.54	NA	NA	4.28	2.9	89	NA	NA	NA	0	92.3	NA	92.3	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24787	AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.	20110331	12	IGAAP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24787	AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.	20120331	12	IGAAP	NA	19603.2	25.5	25.17	5601.4	5528.5	NA	NA	NA	NA	NA	25.5	5.51	4.11	0.8	0	NA	0.05	0.118	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24787	AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.	20130331	12	IGAAP	NA	37313.4	26.39	26.02	10489.6	10342.1	NA	NA	NA	NA	NA	26.39	6.61	1.16	1.05	1.17	NA	0.1	0.545	0	280.8	NA	NA	280.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24787	AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.	20140331	12	IGAAP	NA	0	NA	NA	NA	NA	30.43	30.82	30.43	0.39	NA	30.82	5.7	0.81	1.48	2.79	NA	0.94	6.017	280.8	185.3	NA	NA	185.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24787	AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.	20150331	12	IGAAP	NA	NA	NA	NA	NA	NA	21.42	21.85	21.42	0.43	NA	21.85	5.61	2.43	1.93	NA	NA	1.11	6.642	185.3	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24787	AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.	20160331	12	IGAAP	NA	NA	NA	NA	NA	NA	17.97	18.26	17.97	0.29	NA	18.26	5.2	2.49	1.48	NA	NA	0.85	5.595	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24787	AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.	20170331	12	IGAAP	NA	NA	NA	NA	NA	NA	19.12	19.45	19.12	0.33	NA	19.45	4.46	2.48	1.24	NA	NA	0.67	5.012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24787	AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.	20180331	12	IGAAP	NA	NA	NA	NA	NA	NA	25.2	25.48	25.2	0.28	NA	25.48	4.41	1.61	1.41	NA	NA	0.89	7.462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24787	AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.	20190331	12	IGAAP	NA	NA	NA	NA	NA	NA	18.42	18.82	25.2	0.4	NA	18.82	5	1.31	1.72	NA	NA	0.21	1.949	NA	999.7	NA	NA	999.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27277	B N P PARIBAS	20090331	12	IGAAP	NA	NA	12.37	8.38	22579.9	15297	NA	NA	NA	NA	NA	12.37	7.97	3.04	5.18	2	0.86	2.13	4.9	337.6	751.3	NA	319.3	364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27277	B N P PARIBAS	20100331	12	IGAAP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.46	6.64	2.21	4.52	NA	NA	2.05	0.1	683.3	681.2	319.3	NA	681.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
