Company,Sector,gen_index,educ_index,exp_index,ten_index,age_index,z_total_index,Quartiles,sa_finance1_cocode,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_pct_shares_hld_govt,sa_bd_tot_risk_wt_ast_and_contingencies,sa_bsl_cap_adeq_ratio,sa_bsl_t1_cap_adeq_ratio,sa_bsl_tot_elg_cap,sa_bsl_tier1_elg_cap,sa_bd_bsl3_cet1_cap_ratio,sa_bd_bsl3_cap_adeq_ratio,sa_bd_bsl3_t1_cap_adeq_ratio,sa_bd_bsl3_t2_cap_adeq_ratio,sa_bd_bsl3_cap_adeq_amt,sa_bd_cap_adeq_ratio_series,sa_bd_int_inc_pct_working_funds,sa_bd_non_int_inc_pct_working_funds,sa_bd_op_profit_pct_working_funds,sa_gnpa_advance,sa_bd_nnpa_pct_net_adv,sa_bd_return_on_ast,sa_bd_profit_per_employee,sa_bd_gross_npa_opening_bal,sa_bd_gross_npa_closing_bal,sa_bd_net_npa_opening_bal,sa_bd_net_npa_closing_bal,sa_bd_prov_for_npa,sa_total_gross_restruc_acs,sa_bd_non_corp_debt_restruct,sa_bd_corp_debt_restruct,sa_bd_total_no_borrower_restuct_acs,sa_bd_total_no_borrower_non_corp_debt_restruct,sa_bd_total_no_borrower_corp_debt_restruct,sa_bd_gross_npa_bank,sa_bd_gross_npa_rbi,sa_bd_divergence_gross_npa,sa_bd_net_npa_bank,sa_bd_net_npa_rbi,sa_bd_divergence_net_npa,sa_bd_credit_deposit_ratio,sa_net_int_margin,sa_bd_int_spread,sa_bd_avg_ret_on_adv,sa_bd_avg_cost_of_deposits,Year
KARUR VYSYA BANK LTD.,PRIVATE,0.9981096,0.5746692,0.0302457,0.6427221,0.0831758,-1.566607,,117648,20170331,12,IGAAP,,,,,,,11.85,12.54,11.85,0.69,,12.54,9.28,1.29,2.59,3.58,2.53,1,0.819,5111.8,14838.1,2161.7,10334.6,4287.4,8996.8,6507.9,2489,97,90,7,5111.8,7311,2199.2,2161.7,4360.9,2199.2,,3.7,,11.34,6.6,2017
I C I C I BANK LTD.,PRIVATE,0.9775,0.5775,0.180625,0.6037501,0.46875,-1.357761,,96379,20170331,12,IGAAP,,6248020,,,,,13.74,17.39,14.36,3.03,,17.39,7.43,2.68,3.64,8.74,5.43,1.35,1.2,262212.5,421593.9,129630.8,252168.1,169425.8,144374.6,58877.9,68489.5,1414,1369,45,262212.5,313258.6,51046.1,129630.8,169968.9,40338.1,,3.25,2.64,8.88,5.39,2017
AXIS BANK LTD.,PRIVATE,0.982687,0.41759,0.099723,0.6537396,0.432133,-1.306358,,256066,20170331,12,IGAAP,,4723131.8,,,,,11.13,14.95,11.87,3.08,706051.7,14.95,7.88,2.07,3.11,5.21,2.27,0.65,0.7,60875.1,212804.8,25221.4,86265.5,122057.2,122732.9,80803.5,41929.4,857,817,40,60875.1,155654.1,94779,25221.4,96852.4,71631,,3.67,,9.77,5.54,2017
INDUSIND BANK LTD.,PRIVATE,0.9909297,0.61678,0.1451247,0.526077,0.4444444,-0.8507739,,100224,20170331,12,IGAAP,,,,,,,14.02,15.31,14.72,0.59,,15.31,9.35,2.71,3.54,,0.39,1.86,1.133,7768.2,10548.7,3217.5,4389.1,6159.6,4820.1,2194.6,2625.5,10,5,5,7768.2,13370.3,5602.1,3217.5,6375.5,3158,,3.99,,11.71,6.41,2017
D C B BANK LTD.,PRIVATE,0.9924386,0.3175804,0.0170132,0.6011342,0.4990548,-0.8271891,,59045,20170331,12,IGAAP,,172831.9,,,,,11.87,13.76,11.87,1.89,23786.7,13.76,9.66,1.16,1.95,1.59,0.79,0.93,0.4,1973.8,2542,974.6,1244.1,1270.3,1354.9,1354.9,,8,8,,,,,,,,,4.04,,,,2017
FEDERAL BANK LTD.,PRIVATE,0.994898,0.6313775,0.2869898,0.6607143,0.244898,-0.8224854,,72607,20170331,12,IGAAP,,722954.3,,,,,11.81,12.39,11.81,0.58,89553.3,12.39,8.77,1.09,1.95,2.33,1.28,0.84,0.007,16677.7,17270.5,9500.1,9412,7544.5,11944.8,9108.5,2836.3,211,202,9,,,,,,,,3.31,,10.43,6.25,2017
YES BANK LTD.,PRIVATE,0.9975,0.4375,0.09,0.655,0.3199999,-0.776318,,354608,20170331,12,IGAAP,,,,,,,11.4,17,13.3,3.7,317311.8,17,8.93,2.26,3.17,1.52,0.81,1.81,2,7489.8,20185.6,2844.7,10722.7,9463,6089.4,5798.3,291,12,12,3,7489.8,49256.8,41767,2844.7,36031.5,33186.8,92.6,3.4,,,,2017
LAKSHMI VILAS BANK LTD.,PRIVATE,0.9952437,0.6563615,0.1189061,0.549346,0.3662307,-0.7182205,,126471,20170331,12,IGAAP,,,,,,,8.75,10.38,8.75,1.63,,10.38,9.17,1.62,2.04,2.67,1.76,0.83,0.6,3912.5,6401.9,2316.4,4184.2,1704.3,7269.8,3533.3,3736.5,438,17,6,,,,,,,,2.85,,,,2017
UNITED BANK OF INDIA,PUBLIC,0.9775,0.84,0.030625,0.65125,0.48875,-0.4345571,Q2,257827,20170331,12,IGAAP,85.23,,11.14,8.94,,,8.46,11.14,8.94,2.2,79310,11.14,7.01,1.63,1.16,15.53,10.02,0.16,1.038,94710.1,109519.9,61101.7,65918.5,43214,97521.3,49619.8,47901.3,7463,7387,45,,,,,,,55.54,1.6,,8.95,6,2017
H D F C BANK LTD.,PRIVATE,0.9924386,0.6294897,0.047259,0.6124764,0.4234405,-0.4028083,,88297,20170331,12,IGAAP,,6400299.3,,,,,12.79,14.55,12.79,1.76,931319.6,14.55,8.95,1.59,3.32,1.05,0.33,1.88,1.6,43928.3,58856.6,13203.7,18439.9,40416.7,3115.4,2131.7,983.7,15,9,6,,,,,,,86,4.3,,,,2017
